order,study_folder,study_file,raw_file,sample_name
1,PD,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01,CHIMERYS-CondA_1
2,PD,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02,CHIMERYS-CondA_2
3,PD,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03,CHIMERYS-CondA_3
4,PD,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01,CHIMERYS-CondB_1
5,PD,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02,CHIMERYS-CondB_2
6,PD,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03,CHIMERYS-CondB_3
7,PD,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01_noNorm.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01,Sequest-CondA_1
8,PD,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01_noNorm.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02,Sequest-CondA_2
9,PD,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01_noNorm.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03,Sequest-CondA_3
10,PD,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01_noNorm.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01,Sequest-CondB_1
11,PD,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01_noNorm.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02,Sequest-CondB_2
12,PD,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01_noNorm.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03,Sequest-CondB_3
