,folder_name,file_name,studies,psms_all,psms_FDR,psms_quantified_all,psms_quantified_FDR,peptideGroups_all,peptideGroups_FDR,proteins_all,proteins_FDR,proteins_FDR_min2,proteinGroups_all,proteinGroups_FDR,proteinGroups_FDR_min2
2,Paper_F3_Gradient,210129_wwDDA_10ug_60min_IW1-(2).pdResult,060min_C,348059,139280,104883,99025,201842,70222,7973,7175,5881,7241,6544,5948
6,Paper_F3_Gradient,210129_wwDDA_20ug_90min_IW1-(2).pdResult,090min_C,537240,203742,150906,141019,272861,88518,8734,7845,6653,7974,7242,6710
10,Paper_F3_Gradient,210129_wwDDA_50ug_120min_IW1-(2).pdResult,120min_C,789535,285281,202960,188468,341481,103384,9216,8331,7193,8506,7746,7247
14,Paper_F3_Gradient,210129_wwDDA_5ug_30min_IW1-(2).pdResult,030min_C,170931,70956,53726,51338,117507,43604,6718,5972,4487,6041,5371,4565
18,Paper_F3_Gradient,220121_wwDDA_2ug_15min_IW1-(2).pdResult,015min_C,66960,29077,23221,22425,52424,21066,4625,4059,2596,4053,3548,2681
3,Paper_F3_Gradient,210129_wwDDA_10ug_60min_IW1-(3).pdResult,060min_S,62030,45109,41292,40858,54298,38520,5733,5349,3852,5126,4805,3921
7,Paper_F3_Gradient,210129_wwDDA_20ug_90min_IW1-(3).pdResult,090min_S,86512,54790,48653,47809,75081,45773,6695,6232,4625,6040,5647,4692
11,Paper_F3_Gradient,210129_wwDDA_50ug_120min_IW1-(3).pdResult,120min_S,107432,58298,50463,49393,92185,47054,7056,6619,4995,6428,6064,5066
15,Paper_F3_Gradient,210129_wwDDA_5ug_30min_IW1-(3).pdResult,030min_S,31096,25672,24234,24108,27720,22611,3726,3543,2256,3189,3025,2317
19,Paper_F3_Gradient,220121_wwDDA_2ug_15min_IW1-(3).pdResult,015min_S,14597,12550,12051,12024,13650,11709,2293,2174,1230,1843,1738,1266
1,Paper_F3_Gradient,220121_wwDDA_2ug_15min_IW1_1,015min_M,NA,13473,NA,NA,NA,NA,NA,NA,NA,NA,1800,NA
2,Paper_F3_Gradient,210129_wwDDA_5ug_30min_IW1_1,030min_M,NA,28741,NA,NA,NA,NA,NA,NA,NA,NA,3202,NA
3,Paper_F3_Gradient,210129_wwDDA_10ug_60min_IW1_1,060min_M,NA,54884,NA,NA,NA,NA,NA,NA,NA,NA,5155,NA
4,Paper_F3_Gradient,210129_wwDDA_20ug_90min_IW1_1,090min_M,NA,73670,NA,NA,NA,NA,NA,NA,NA,NA,6184,NA
5,Paper_F3_Gradient,210129_wwDDA_50ug_120min_IW1_1,120min_M,NA,89823,NA,NA,NA,NA,NA,NA,NA,NA,6860,NA
