,folder_name,file_name,studies,psms_all,psms_FDR,psms_quantified_all,psms_quantified_FDR,peptideGroups_all,peptideGroups_FDR,proteins_all,proteins_FDR,proteins_FDR_min2,proteinGroups_all,proteinGroups_FDR,proteinGroups_FDR_min2
1,Sequest,1_Velos_20160309_Hela_QC_R1-(1).pdResult,1_Velos_S,9642,8011,7475,7448,8675,7131,1918,1865,871,1482,1434,929
2,Sequest,2_Elite_170829_Hela_CMS_R1-(1).pdResult,2_Elite_S,14490,11442,9734,9667,13511,10630,2424,2307,1240,1919,1822,1296
3,Sequest,3_QEplus_160112_500ng_HeLa_CL_CMS_R1-(1).pdResult,3_QE_S,24852,19250,17762,17657,22340,17041,4112,3953,2251,3491,3347,2329
4,Sequest,4_HF_171004_Hela_QC_R1-(1).pdResult,4_HF_S,32753,23356,21634,21443,29612,20767,4290,4046,2523,3639,3416,2606
5,Sequest,5_Lumos_190805_100ng_Pierce_Hela_QC_R1-(1).pdResult,5_Lumos_S,46038,29476,25101,24629,41468,26161,4585,4086,2765,3876,3469,2840
6,Sequest,7_Exploris_200313_HeLa_500ng_QC_PCol_R1-(1).pdResult,6_Exploris_S,54329,34920,22133,21506,44255,26569,5154,4862,3128,4491,4237,3207
1,Chimerys,1_Velos_20160309_Hela_QC_R1.pdResult,1_Velos_C,26466,14489,11305,10964,22225,11568,3465,3175,1575,2902,2646,1669
2,Chimerys,2_Elite_170829_Hela_CMS_R1.pdResult,2_Elite_C,24220,17628,11254,11095,20308,14396,3599,3264,1792,2993,2698,1867
3,Chimerys,3_QEplus_160112_500ng_HeLa_CL_CMS_R1.pdResult,3_QE_C,126563,52225,37911,36012,91248,36523,6949,6305,4480,6163,5609,4586
4,Chimerys,4_HF_171004_Hela_QC_R1.pdResult,4_HF_C,139420,65979,49385,47274,98145,43847,6885,6062,4564,5955,5257,4665
5,Chimerys,5_Lumos_190805_100ng_Pierce_Hela_QC_R1.pdResult,5_Lumos_C,147852,82654,55664,52491,89158,45183,6766,5906,4424,5838,5168,4534
6,Chimerys,7_Exploris_200313_HeLa_500ng_QC_PCol_R1.pdResult,6_Exploris_C,373445,149006,68149,63013,197645,62413,8583,7648,6058,7661,6895,6163
1,Msfragger,1_Velos_20160309_Hela_QC_R1_1,1_Velos_M,NA,6082,NA,NA,NA,NA,NA,NA,NA,NA,1180,NA
2,Msfragger,2_Elite_170829_Hela_CMS_R1_1,2_Elite_M,NA,8506,NA,NA,NA,NA,NA,NA,NA,NA,1495,NA
3,Msfragger,3_QEplus_160112_500ng_HeLa_CL_CMS_R1_1,3_QE_M,NA,13709,NA,NA,NA,NA,NA,NA,NA,NA,2714,NA
4,Msfragger,4_HF_171004_Hela_QC_R1_1,4_HF_M,NA,17910,NA,NA,NA,NA,NA,NA,NA,NA,2976,NA
5,Msfragger,5_Lumos_190805_100ng_Pierce_Hela_QC_R1_1,5_Lumos_M,NA,21110,NA,NA,NA,NA,NA,NA,NA,NA,3042,NA
6,Msfragger,7_Exploris_200313_HeLa_500ng_QC_PCol_R1_1,6_Exploris_M,NA,29884,NA,NA,NA,NA,NA,NA,NA,NA,3771,NA
