order,study_folder,study_file,raw_file,sample_name
1,Chimerys,20240522_LFQ3-DIA-Minora_noNorm.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01,DIA-Minora-CondA_1
2,Chimerys,20240522_LFQ3-DIA-Minora_noNorm.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02,DIA-Minora-CondA_2
3,Chimerys,20240522_LFQ3-DIA-Minora_noNorm.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03,DIA-Minora-CondA_3
4,Chimerys,20240522_LFQ3-DIA-Minora_noNorm.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01,DIA-Minora-CondB_1
5,Chimerys,20240522_LFQ3-DIA-Minora_noNorm.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02,DIA-Minora-CondB_2
6,Chimerys,20240522_LFQ3-DIA-Minora_noNorm.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03,DIA-Minora-CondB_3
7,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01,DIA-CHIMERYS-CondA_1
8,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02,DIA-CHIMERYS-CondA_2
9,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03,DIA-CHIMERYS-CondA_3
10,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01,DIA-CHIMERYS-CondB_1
11,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02,DIA-CHIMERYS-CondB_2
12,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03,DIA-CHIMERYS-CondB_3
