order,study_folder,study_file,raw_file,sample_name
1,Chimerys,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01,DDA-CondA_1
2,Chimerys,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02,DDA-CondA_2
3,Chimerys,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03,DDA-CondA_3
4,Chimerys,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01,DDA-CondB_1
5,Chimerys,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02,DDA-CondB_2
6,Chimerys,20240517_lfq_dda_z1to4_True_noNormalization.pdResult,LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03,DDA-CondB_3
7,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01,DIA-CondA_1
8,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02,DIA-CondA_2
9,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03,DIA-CondA_3
10,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01,DIA-CondB_1
11,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02,DIA-CondB_2
12,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03,DIA-CondB_3
