order,study_folder,study_file,raw_file,sample_name
1,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_01_1,faims-res-15k-118ms-2th-1ov_1
2,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_01_2,faims-res-15k-118ms-2th-1ov_2
3,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_02_1,faims-res-30k-118ms-2th-1ov_1
4,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_02_2,faims-res-30k-118ms-2th-1ov_2
5,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_03_1,faims-res-60k-118ms-2th-1ov_1
6,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_03_2,faims-res-60k-118ms-2th-1ov_2
7,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_04_1,faims-res-120k-118ms-2th-1ov_1
8,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_04_2,faims-res-120k-118ms-2th-1ov_2
9,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_05_1,faims-res-15k-118ms-6th-1ov_1
10,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_05_2,faims-res-15k-118ms-6th-1ov_2
11,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_06_1,faims-res-30k-118ms-6th-1ov_1
12,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_06_2,faims-res-30k-118ms-6th-1ov_2
13,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_07_1,faims-res-60k-118ms-6th-1ov_1
14,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_07_2,faims-res-60k-118ms-6th-1ov_2
15,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_08_1,faims-res-120k-118ms-6th-1ov_1
16,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_08_2,faims-res-120k-118ms-6th-1ov_2
17,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_09_1,faims-it-60k-20ms-2th-1ov_1
18,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_09_2,faims-it-60k-20ms-2th-1ov_2
19,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_10_1,faims-it-60k-60ms-2th-1ov_1
